golden_id,review_id,golden_intent,difficulty_hint,escalation_required,escalation_reason,expected_action,resolution_criteria,annotation_status,annotation_note,candidate_intent,escalation_hint,model_review_intent,model_review_escalation_required,model_review_escalation_reason,model_review_expected_action,model_review_resolution_criteria,model_review_decision,model_review_note,final_intent,final_escalation_required,final_escalation_reason,final_expected_action,final_resolution_criteria,review_decision,review_notes,candidate_id,conversation_id,total_turns,customer_turns,company_turns,first_customer_message,customer_messages,company_responses,intent_score_hint,selection_reason
GLD0001,GR0001,account_access,medium,yes,"Security, safety, fraud, or serious complaint signal requires secure/specialist handling.","Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,TRUE,account_access,yes,"Security, safety, fraud, or serious complaint signal requires secure/specialist handling.","Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0148,29950,8,4,4,@AmazonHelp I was told I'd receive an email to reset my password since my account was hacked and 5 phone calls later nothing.,@AmazonHelp I was told I'd receive an email to reset my password since my account was hacked and 5 phone calls later nothing. || @AmazonHelp  https://t.co/b5RacHAicP || @AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked. || @AmazonHelp Sent.,"@122588 I'm sorry to hear that Heather. Have you been given any advice since the issue began? ^DC || @122588 Have you checked your junk/spam folders to make sure the e-mails aren't getting filtered out? ^MJ || @122588 Please provide a few more details and a member of my team will personally look into this further: https://t.co/N3eoiSF1lL ^SD || @122588 No problem, Heather! Below the Sign In button there is the option to Skip Sign In. Click on that since you don't have access.",3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0002,GR0013,account_access,medium,yes,Repeated contact or unresolved issue suggests escalation to a specialist/support team.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,yes,Repeated contact or unresolved issue suggests escalation to a specialist/support team.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0152,277211,8,4,4,@AmazonHelp That it is being referred to a "specialist team" who will be in touch "within 24 hours". It's now been six days...,@AmazonHelp That it is being referred to a "specialist team" who will be in touch "within 24 hours". It's now been six days... || @AmazonHelp No I haven't || @AmazonHelp Yes. 4 times now. || @AmazonHelp I can't log in to that link. It says my password is incorrect. Should I try resetting the password again?,"@182227 Hi Matan. What advise were you given when you called? ^RL || @182227 Hi Matan, did you receive an email from the Account specialist at all? Please check your spam folder too. ^AT || @182227 When you've spoken with us, have we offered to pass your details along to an Account Specialist for you? ^LB || @182227 I'd like a member of our team to look into this for you. Please provide details here: https://t.co/o256b1sJR6 ^JF",3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0003,GR0002,account_access,medium,yes,Repeated contact or unresolved issue suggests escalation to a specialist/support team.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,TRUE,account_access,yes,Repeated contact or unresolved issue suggests escalation to a specialist/support team.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0146,1873876,10,5,5,"@AmazonHelp No, I have not received anything. I have just sent an email using the link as calling got no results.","@AmazonHelp No, I have not received anything. I have just sent an email using the link as calling got no results. || @AmazonHelp Not working. https://t.co/agJVJmHm23 || @AmazonHelp I have rung this number, and I have also sent an email. 24 hours later and still no response. 17 years a customer and you plan to lose me? || @AmazonHelp The only email I received was about resetting my password which failed to unlock my account. Amazon emails do not go into my spam folder. || @AmazonHelp That takes me to a screen asking me to log in! I can't log in because you have disabled my account!",@559457 Hi Matthew- Have you received any communication regarding your account? Has info been requested to reopen the acc? ^NV || @559457 Try reaching out here so we can check this for you Matthew https://t.co/zH8UlhTGcc ^KM || @559457 Strange - I have just tried and it's working - could you try a different browser pls ? ^TD || @559457 Have you received an e-mail with instructions on how to unlock your account? Please check any junk/spam folders. ^LB || @559457 A specialist from my team would like to reach out to you personally. Please share a little info here: https://t.co/sx7iTLx3f2 ^JZ,3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0004,GR0004,account_access,easy,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0136,2690666,2,1,1,@AmazonHelp Yes to reset the password. We have reset the account after waiting 5 hours we have had the verification code sent and changed it but it’s still not letting us sign in with the new or old password. It started because we had an email saying the email address has been changed,@AmazonHelp Yes to reset the password. We have reset the account after waiting 5 hours we have had the verification code sent and changed it but it’s still not letting us sign in with the new or old password. It started because we had an email saying the email address has been changed,@756420 I'm sorry for any aggravation! Has your mother received any e-mails back from Amazon regarding the account? ^DD,3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0005,GR0005,account_access,easy,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0137,741616,2,1,1,"@AmazonHelp Tried to login, used wrong password, sent verification code many times, nothing has arrived. Checked spam as well.","@AmazonHelp Tried to login, used wrong password, sent verification code many times, nothing has arrived. Checked spam as well.","@297366 We'd be glad to assist you with this, Pablo! Without posting personal account information, tell us more about your situation.^FR",3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0006,GR0006,account_access,easy,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0138,2901063,2,1,1,@AmazonHelp Ive been trying to access my account but need to have a verification code emailed to me. I have tried several times to contact customer svcs but need to login in first which I can’t do without a code. I’ve asked 3 times over 3 hours and received one code after 2 hrs which expired,@AmazonHelp Ive been trying to access my account but need to have a verification code emailed to me. I have tried several times to contact customer svcs but need to login in first which I can’t do without a code. I’ve asked 3 times over 3 hours and received one code after 2 hrs which expired,"@803600 I'm sorry for the trouble, Beverly! Without including personal information, could you tell us a bit more about what's going on? Is this an ongoing issue that has given you multiple failed attempts? Please keep us posted! We want to help! ^SD",3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0007,GR0007,account_access,easy,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0141,2825612,2,1,1,"@AmazonHelp Is not two step verification.
Two step login... One page to enter id, another page to enter password...","@AmazonHelp Is not two step verification.
Two step login... One page to enter id, another page to enter password...",@191152 You can disable Amazon's Two-Step Verification by following the steps from this Help page: https://t.co/0H10jS5o2v. ^AR,3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0008,GR0008,account_access,easy,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0139,2435009,4,2,2,"@AmazonHelp Can't login it says Account locked

Your account has been locked for security purposes. Please check your email for instructions on how to unlock your account.","@AmazonHelp Can't login it says Account locked

Your account has been locked for security purposes. Please check your email for instructions on how to unlock your account. || @AmazonHelp I can't sign in my account it is locked","@698685 Hi there, I'm so sorry to hear that, please contact us here: https://t.co/jzvkhdlrK5 so that we can look into this with you! ^VF || @698685 We'd like to look into this with you. Please choose to skip log in at the bottom of the page and leave us your details here: https://t.co/5dINh2SzfF ^MH",3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0009,GR0009,account_access,easy,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0142,1170018,4,2,2,"@AmazonHelp I'm not getting to a place to enter my password: I get a 500 when it sends me to any login screen. If I open in incognito, I can sign in.","@AmazonHelp I'm not getting to a place to enter my password: I get a 500 when it sends me to any login screen. If I open in incognito, I can sign in. || @AmazonHelp I was able to get it to work by clearing application cache memory. For a while it wasn't recognizing the site, so it didn't clear properly.","@395200 Oh no! We are here to help, Michael! Are you still having problems after resetting your password? ^HM || @395200 We'd like to help look into this with you. Please reach out to us by phone at this link here: https://t.co/oPkZ4TwULK ^VS",3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
GLD0010,GR0010,account_access,easy,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,finalized_assisted_annotation,Final project golden set generated from the reviewed candidate pool. Labels are model-assisted and should be described as such in the report.,account_issue,FALSE,account_access,no,No strong escalation signal in the customer text; standard support handling is appropriate.,"Help restore account access, login, password, verification, or account-status functionality.",Customer can access the account or has a verified account-recovery path.,keep,First-pass model-assisted label. Human verification required before this is treated as ground truth.,,,,,,,,G0143,2727072,4,2,2,@AmazonHelp https://t.co/vCw4EsIQbd,"@AmazonHelp https://t.co/vCw4EsIQbd || @AmazonHelp You just linked to a page that requires me to sign in. And it's clear from the lengthy notes I sent you, I can't log in... fml.","@120919 We're here to help! Without providing account or personal information, can you please tell us more about what's happened? ^AC || @120919 I'm sorry for the trouble. We'd like to look into this further, please send us more info here: https://t.co/o88bLKZEFy ^LS",3,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
