candidate_id,candidate_intent,difficulty_hint,escalation_hint,golden_intent,escalation_required,escalation_reason,expected_action,resolution_criteria,review_notes,conversation_id,total_turns,customer_turns,company_turns,first_customer_message,customer_messages,company_responses,intent_score_hint,selection_reason
G0001,delivery_issue,easy,False,,,,,,,2564048,4,2,2,"@AmazonHelp The delivery date is tomorrow, but the order page said Ultra Moon would be shipped yesterday.
I just ordered something else this morning and its already preparing for shipment, but the Pokemon game just says ""shipping soon"".","@AmazonHelp The delivery date is tomorrow, but the order page said Ultra Moon would be shipped yesterday.
I just ordered something else this morning and its already preparing for shipment, but the Pokemon game just says ""shipping soon"". || @AmazonHelp But the gane was supposed to ship YESTERDAY to arrive tomorrow and still no update on the order page, I've checked several times today.
I preordered with you all because my other preorder won't arrive tomorrow and I was hoping with you guys I would get it on release date.",@727549 We're here to help. Have we missed the delivery date given in your confirmation e-mail? ^GG || @727549 It isn't uncommon for packages to ship and arrive within the same day. Please keep us posted! ^MW,5,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0002,delivery_issue,easy,False,,,,,,,2356748,4,2,2,@AmazonHelp I have had it happen in the past. I put my shipping address and on occasions like this I get a 'delivered' notice with a 'pick up' had I known that would happen I wouldn't have ordered.,@AmazonHelp I have had it happen in the past. I put my shipping address and on occasions like this I get a 'delivered' notice with a 'pick up' had I known that would happen I wouldn't have ordered. || @AmazonHelp well..it happened again...the tablecloth I was waiting for all day to arrive for tomorrow I got notification it is delayed at 6 PM...how do I find one this late? Amazon has been screwing up big time,@680827 I'm sorry for this happening with your order. Has this occurred with one carrier or several? Please check here: https://t.co/Y5jpI9gRhE ^DO || @680827 We would like to take a closer look. If you could reach out to us via this link : https://t.co/hApLpMlfHN we will be happy to assist! ^TE,5,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0003,delivery_issue,easy,False,,,,,,,2862056,2,1,1,"@AmazonHelp Yes, I know how to track my own order.  It says arriving today by 8pm (2 hours from now). No delay notification. There is no tracking or carrier *because it hasn't shipped*, as I previously stated.  Your prior tweets say to rely on the delivery date at checkout, which is today.","@AmazonHelp Yes, I know how to track my own order.  It says arriving today by 8pm (2 hours from now). No delay notification. There is no tracking or carrier *because it hasn't shipped*, as I previously stated.  Your prior tweets say to rely on the delivery date at checkout, which is today.",@795075 I'm sorry for any delay. We're unable to access your account via Twitter. Have we sent notification of a possible delay? What is the latest tracking and who is the carrier for your orders? That information can be found here: https://t.co/Y5jpI9gRhE We're here! ^SK,5,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0004,delivery_issue,easy,False,,,,,,,2888198,4,2,2,@AmazonHelp I’ve ordered something from you guys and someone from your team assured me that it will get delivered by today as I need this today only but I’ve not received the product,"@AmazonHelp I’ve ordered something from you guys and someone from your team assured me that it will get delivered by today as I need this today only but I’ve not received the product || @AmazonHelp You guys are so pathetic
I’ve just asked to deliver it one day before it’s estimated delivery time and you guys returned my product back
I needed it today and now you can’t even deliver on your estimated delivery date that is tomorrow","@800864 That's quite a remark. Could you please elaborate the issue you're facing so that we can assist you? ^MN || @800864 Sorry for the experience with your order. However, all the orders are shipped and mapped based on the estimates provided. Did we happen to miss on that? ^HS",5,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0005,delivery_issue,easy,False,,,,,,,2478845,4,2,2,"@AmazonHelp was supposed to be delivered on Saturday, haven’t received package yet! last two weeks has been horrible, please switch to reliable carrier.","@AmazonHelp was supposed to be delivered on Saturday, haven’t received package yet! last two weeks has been horrible, please switch to reliable carrier. || @AmazonHelp I haven't received any emails explaining why order is delayed. My concern is larger trend emerging in last few months. This is 3rd occurrence of delayed order in last 2 weeks. I would appreciate someone senior in shipping dept. can take responsibility to investigate with USPS.","@708438 I'm so sorry your package is late! Did we miss the delivery date provided at checkout? ^VF || @708438 I'm very sorry to hear this, can I ask have you been updated via email as to why this order is delayed please? You may have an email in your spam/junk folder. Thanks. ^GA",5,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0006,delivery_issue,easy,False,,,,,,,470816,4,2,2,@AmazonHelp I have provided additional details and what did you find about this late delivery?,"@AmazonHelp I have provided additional details and what did you find about this late delivery? || @AmazonHelp You did not provide any explanation for the delayed delivery. 

Your e-mail is useless and does nothing and please do not waste my time with useless e-mails like this.

Why the order was delivered after one week of delay?","@227098 I'm sorry for the inconvenience you have faced with a late delivery. Write to us here: https://t.co/GIJyeYqKE0 &amp; we'll check this for you. Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ || @227098 We've sent you a correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww  and respond so that we can take this up further. ^EM",5,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0007,delivery_issue,easy,True,,,,,,,503478,4,2,2,"@AmazonHelp I was told by one person that promised one of my packages would be delivered by 6pm by UPS, even when I called I was informed it wouldn't arrive until next week.","@AmazonHelp I was told by one person that promised one of my packages would be delivered by 6pm by UPS, even when I called I was informed it wouldn't arrive until next week. || @AmazonHelp On the way, but it may be late
From UPS at 10AM today.
A carrier delay has occurred
Your package can still arrive today by 8PM.
We're working to get your package back on track. Please check back later for more delivery info from UPS.
Was expected today by 8PM","@235321 I'm sorry your packages are late, Cory! When you spoke with us, what was advised? Were we able to offer any options? ^LB || @235321 Thank you for clarifying. To confirm, what does the most current tracking update show for the order here: https://t.co/Y5jpI9gRhE ^SC",6,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0008,delivery_issue,easy,False,,,,,,,459059,2,1,1,@AmazonHelp You guys already sent a replacement when it was initially not being delivered. This is mainly to show the quality of @115821 's shipping partner @118706 that is #fail ing to deliver. The replacement should arrive via @115817 tomorrow-- days after #AmazonPrime delivery date.,@AmazonHelp You guys already sent a replacement when it was initially not being delivered. This is mainly to show the quality of @115821 's shipping partner @118706 that is #fail ing to deliver. The replacement should arrive via @115817 tomorrow-- days after #AmazonPrime delivery date.,@224020 I'm sorry to see your order arrived in this condition! Please visit here: https://t.co/tOvEuvW82T for available refund/replacement options. ^EZ,5,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0009,delivery_issue,easy,False,,,,,,,2966398,4,2,2,@AmazonHelp Yes. 3 so far this week. 2 arrived today (2days late) and one was supposed to arrive today and I have again received a sorry it's delayed email instead of my package. This last one did not even get picked up to be delivered today.,"@AmazonHelp Yes. 3 so far this week. 2 arrived today (2days late) and one was supposed to arrive today and I have again received a sorry it's delayed email instead of my package. This last one did not even get picked up to be delivered today. || @AmazonHelp I included a photo of all three tracking numbers. The top is the one that was supposed to arrive today and didn't even go out for delivery, the other two were the delayed ones. It's all your AMZL US service. https://t.co/ZWLGuh5uX8","@818380 Hello, Ashley. I'm sorry you're having issues with some of your recent deliveries. That's not the type of service that we aim to provide. Do you have any current orders that have missed the delivery date given in your order confirmation e-mail?   ^FJ || @818380 Thanks for that information! We'll do all we can to help. Without any account or personal details, please confirm for us who the carrier is on these orders here: https://t.co/Y5jpI9gRhE ^SG",6,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0010,delivery_issue,medium,True,,,,,,,93674,12,6,6,"@AmazonHelp Yes, but this is becoming unacceptable. Every other order from you is late. Spoke to a rep and saw that one part of my order was available via @117795 but wouldn’t schedule the delivery for today.","@AmazonHelp Yes, but this is becoming unacceptable. Every other order from you is late. Spoke to a rep and saw that one part of my order was available via @117795 but wouldn’t schedule the delivery for today. || @AmazonHelp I’ve ended up cancelling some of the delayed orders and buying them locally so I can’t go back in and search the carrier. UPS was the problem this time and has been a problem with past orders if memory serves correct. || @AmazonHelp Another delayed shipment. Who do I need to call to fix this? || @AmazonHelp General customer support has no idea what I’m talking about and is just offering me the standard prime extension. I want the problem fixed not bribes to make me go away. Who do I need to speak with that’s a specialist in this area? || @AmazonHelp Had a conference call with your customer service rep and UPS. Amazon is creating shipping labels too late. So I ordered a package on Nov 28, Amz said it would be delivered the 30th, but Amz isn’t creating a label until 5:30pm on the 29th so UPS thinks it should be delivered 12/1 || @AmazonHelp 6 hours no response. Good to know.","@136304 So sorry your order was delayed! Did you receive an e-mail providing a new delivery date?  ^LS || @136304 When your package are being delayed are you noticing that it is with a certain carrier? We would like to help in any way possible! ^LS || @136304 Thank you for confirming. I'm glad that you've contacted us about the delay as it allows us to notify our Shipping team. We want to make sure this doesn't continue. Please keep us posted on your future deliveries. ^RA || @136304 Please contact us here: https://t.co/hApLpMlfHN so we can make sure this is addressed. ^CO || @136304 You mentioned the past delivery issues were with the same carrier, have you had a chance to contact the carrier directly for more information about the delays? If so, what insight did they provide? ^LI || @136304 This is certainly not the experience we'd want you to have! I'm sorry about that. Just for claarification, are you in need of a return mailing label? ^GP",7,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
