cluster_id,representative_rank,conversation_id,customer_turns,company_turns,total_turns,customer_text,company_response
0,1,1333574,1,1,2,USER Yes... But your customer care saying that there are no details..there,USER I'm sorry about that. Could you confirm if you have submitted your details in the link mentioned earlier by 'ST' ? ^GD
0,2,480471,1,1,2,USER And after that i also call to customer care.,USER I understand your concern regarding the delivery of your order. Please let us know if you've dropped your details in the link shared earlier. ^BV
0,3,126127,1,1,2,USER What details u talkin about.,"USER Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK"
0,4,2427512,1,1,2,USER Here’s the details,USER I'm sorry the wrong items arrived! Was the order shipped by Amazon directly or one of our sellers: ^EP
0,5,2904985,1,1,2,USER But they could still have someone else's details,"USER When you contacted us at the above link, did we mention escalating carrier feedback? If not, please send us an e-mail there to get this escalated. ^JM"
0,6,386438,1,1,2,USER And i call customer care not receive call,"USER Kindly connect with us here: and we'll help you with this. Also, kindly do not provide your order.^PB (1/2)"
0,7,1546683,1,1,2,USER USER it is resolved now but not by customer care,USER Sorry for the disappointing experience you've had. Please let me know your query and I'll do my best to help you. ^MM
0,8,2388895,1,1,2,USER i have shared all details to __email__. can you pls take details from their and resolve the same.,USER I'm sorry you've not received the cashback. Kindly share your details here: we'll look into it and reach out to you soon. ^AP
0,9,1545803,3,3,6,USER talked to customer care many times but problem not solved. || USER here is the issue. || USER Shared the details through link also.,USER I'm sorry to hear that your order is returned. Please reach out to us here: we'll check it for you. ^AU || USER We regret the inconvenience. Please drop in your details here: We’ll sort this for you. ^SB || USER your details through the link provided above and we shall get back to you. 2/2 ^SH
0,10,1095180,1,1,2,USER I have shared with customer care doing many calls and mail also but not getting any solution as of now.,USER I'm sorry about the trouble with the delivery and the experience you had with our support team. Kindly share 1/2 ^GK
0,11,2386396,1,1,2,USER I have already shared my details,USER We don't have access to your account owing to security reasons. Kindly share your details with us using the secure link. ^CB
0,12,379348,1,1,2,USER I have already shared my details......,USER Please share your details from the link here: and we will assist you accordingly.(2/2)^HR
1,1,393567,1,1,2,"USER Still nothing. Prime, my arse! 😠",USER Waiting is always the hardest part! 😪 Keep us updated on the arrival. ^HC
1,2,703057,1,1,2,"USER No you’re not, so much for being prime","USER I am very sorry to hear this, can you check the tracking of your order by following the link below to check the current status of the order please: ^GA"
1,3,579868,1,1,2,USER Amazon prime memebership***,"USER Sorry to hear that. Without revealing any personal information, can you tell me a bit more about what happened?^TI"
1,4,549526,1,1,2,USER No - it’s amazon prime now?,USER We'd love to help. Is the shipment late currently as shown here: ^SG
1,5,840854,1,1,2,USER 早速、リプライいだだき恐縮です。Amazonさんは過重包装と思われる梱包が多い中、今回は商品の箱が潰れる、簡易包装でしたので、思わず、呟いてしまいました…商品に問題はありませんし、地方ですがprimeお急ぎ便で注文翌日に届く素早さに感激しております。,USER アマゾンです。ご迷惑をおかけしております。商品をご確認いただきまして問題があった場合は交換(可能な場合)またはご返品を承りますので、お手数ですが注文履歴よりお手続きください。 ET
1,6,602318,1,1,2,USER Amazon Prime Now,"USER Alejandro, por motivos de seguridad te recomiendo eliminar el comentario anterior, ya que contiene datos privados y sensibles como tu número de pedido, y este es un medio público. ¿El pedido era gestionado por Amazon o por un vendedor independiente? ^KS"
1,7,986223,1,1,2,USER It was on Amazon prime,"USER Hi, did you purchase it directly from us or a marketplace seller? ^AS"
1,8,2497680,1,1,2,USER ありがとうございます😊 Amazon prime は大変便利なのでこのまま継続契約したいと思います😋 いつもお世話になっております🙏,USER キャンセルをご希望の場合はリンクをご参照ください。 更新後に特典の利用がなければ全額返金いたします。なお、プライムでは以下のような特典をご用意しています。 TN
1,9,1515269,1,1,2,USER From Amazon via prime.,USER I'm sorry you received this box set in this condition; was this sold/fulfilled by a third-party seller or from Amazon? ^WM
1,10,2013728,1,1,2,USER Amazon Prime,USER Just a quick question; Was this order to be shipped or fulfilled by Amazon or shipped and sold by a third party? ^EM
1,11,1073212,2,2,4,USER Will we ever see Arjun Reddy in U.S.A || USER So we may never see Arjun Reddy on Amazon Prime in the U.S.A,"USER The content is geo-location specific, you will only be able to view this in India. ^SQ || USER The selection of movies and TV shows may vary based on your location. Currently it is available in India only. ^RW"
1,12,2786330,1,1,2,USER Y’all finessed me for some amazon prime,USER I'm very sorry to hear this! We'd like to help! Have you had trouble with a recent order/delivery? Could you tell us more details about what's going on? ^HM
2,1,20032,1,1,2,USER Thank u.......done,USER please check this link here: (2/2) ^KA
2,2,1962814,1,1,2,"USER Thank you, I will give it a go!","USER No problem, Rebecca! Selecting these options from the drop downs will enable you to contact us by chat. I hope this helps! ^ML"
2,3,2728878,2,2,4,USER Thank you! || USER DJ?! WHAT HAVE YOU DONE TO JZ!?,"USER No problem at all, Marc! Let's take a look into how to return gifts here: ^JZ || USER You are welcome! Let us know if you need any further assistance! ^DJ"
2,4,1019530,1,1,2,USER Thank you so much.,USER We don't have any announcement on this yet. I'll be sure to share your comments internally. Stay tuned. ^SU
2,5,1669422,1,1,2,USER Done! Thank you!,USER Hi - please use this link for more info : ^TD
2,6,133688,1,1,2,USER Lmao thank you!,USER On certain occasions it's OK to treat ourselves 😊 Enjoy the sales! ^CR
2,7,930306,1,1,2,"USER Will do, thank you","USER Hi there! Deliveries are made until 21:00, Dorothea. If your book doesn't arrive by then, please let us know! ^AB"
2,8,1122266,1,1,2,USER Thank you so much,USER I get your concern and I'm sorry about this. I have shared your feedback with the relevant team for review.^SF
2,9,2146467,1,1,2,USER Done. Thank you.,USER Apologies for the ordeal Dinakaran. Please share your details here: and I'll get back to you. ^HN
2,10,845768,1,1,2,USER Thank you ZW,USER I'm sorry for the unexpected charge! Please reach out to us here: so we can look into this. ^ZW
2,11,535101,1,1,2,USER Will do. Thank you.,"USER Hi there, Carl! Take a look here for some tips on adjusting your communication preferences: I hope this helps! ^SM"
2,12,2548099,2,2,4,USER || USER Done. Thank you!,"USER My apologies. Which Amazon site do you use? .co.uk, .de etc. ^DC || USER Please contact us here: to look into this with you. You won't be prompted to sign in. ^LB"
3,1,1632511,1,1,2,"USER Thanks, will do!","USER We'd like to take a closer look at this with you, Sophie! Please reach out to us here: ^CN"
3,2,2879512,1,1,2,USER Will do thanks,USER I'm sorry to hear about this. Can you contact us here: so we can take a look? ^MI
3,3,2410550,1,1,2,USER okays thanks!,"USER I'm sorry for the delay, Jasmine! We aren't able to access your order or account details on social media but we're happy to look into available options with you via phone/chat here: ^CS"
3,4,2318617,1,1,2,"USER Will do, thanks ☺","USER Hi Phil, if you would like to send us on feedback on the packaging, please click the following link: ^BZ"
3,5,2695686,1,1,2,USER will do ... thanks for the pointer,"USER I'm sorry for the trouble! Please get in touch with us directly for further assistance. We're available 24/7 via Phone, Chat, and E-mail here: ^EZ"
3,6,346727,1,1,2,USER Thanks and you too!!,USER You're welcome. Have a super Sunday :-) ^KA
3,7,2105901,1,1,2,USER Thanks Already found it 🤓📖👍,USER Wow that looks nice:) I hope you find what you are looking for!! If you would like any assistance please contact us. ^GA
3,8,233503,1,1,2,USER Done... thanks,"USER Hi, can you get in touch with us here: we'd be happy to help ^AS"
3,9,1168481,1,1,2,USER thanks! EZ lmaooooooooooooo,USER It's possible you're seeing and authorization which will fall off automatically. We can confirm here: ^EZ
3,10,1352880,1,1,2,"USER Thanks, will do :)","USER I'm sorry! Deliveries can be as late as 21:00. If it doesn't arrive by then, reach out to us here: ^AC"
3,11,1210999,2,2,4,"USER I will do that || USER Will do, thanks!",USER If your order was canceled it sounds like it might be an authorization: Have you contacted your bank? ^AF || USER Thanks and please be sure to keep us in the loop! Let us know if you have any further questions or concerns as well. ^TG
3,12,64103,1,1,2,"USER Will do, thanks",USER Sorry to hear this. Can you contact us here: so we can take a look at what options we have? ^MI
4,1,2260862,1,1,2,USER I have two.,USER I'm sorry to hear you're experiencing delays! That is not what we want for our customers. Do you have a current order that you're having issues with? ^EA
4,2,1983636,1,1,2,USER Ahahahahahah,USER Poi sei così generoso da condividerle con i tuoi amici? 😀 ^GD
4,3,1956046,1,1,2,USER Anyone there?,"USER We aim to meet the estimated delivery date provided at checkout and in your e-mail. Have we missed our mark, Michelle? ^FD"
