rag_id,conversation_id,intent_hint,customer_problem,historical_response,document_text,source,golden_overlap
RAG00001,1325550,delivery_shipping,"USER Yes. And it is the second in less than 2 weeks to miss delivery dates. Even more frustrating that I have to chase rather than Amazon || USER Spoken to your team's but they seem helpless and limited in ability unfortunately. Just frustrating to have bad service 2x in a week. || USER When item was late - I asked if it would arrive tomorrow - ""Vishhwajeet: Definitely"" - it didn't! || USER For the current problem it shows as will arrive today (was guaranteed for yesterday). However still not showing out for delivery so I doubt || USER Yeah. That is not going to arrive today. .. || USER I feel I have been repeatedly lied to","USER Hi Chris, apologies, are you currently waiting on a delayed order: ^JJ || USER Oh my! Have you spoken with us via phone or chat about this? If not, please do so here: ^AL || USER Apologies, it's certainly not what we expect. What were you advised when you contacted us? ^JJ || USER Is there a delivery date showing here now: ^BM || USER It's not uncommon for items to ship and arrive the same day! Please let us know if you don't receive your order by PM. ^KJ || USER If it doesn't arrive by 8PM, please contact us here: ^AF","Historical AmazonHelp support example.
Customer problem: USER Yes. And it is the second in less than 2 weeks to miss delivery dates. Even more frustrating that I have to chase rather than Amazon || USER Spoken to your team's but they seem helpless and limited in ability unfortunately. Just frustrating to have bad service 2x in a week. || USER When item was late - I asked if it would arrive tomorrow - ""Vishhwajeet: Definitely"" - it didn't! || USER For the current problem it shows as will arrive today (was guaranteed for yesterday). However still not showing out for delivery so I doubt || USER Yeah. That is not going to arrive today. .. || USER I feel I have been repeatedly lied to
Historical support response: USER Hi Chris, apologies, are you currently waiting on a delayed order: ^JJ || USER Oh my! Have you spoken with us via phone or chat about this? If not, please do so here: ^AL || USER Apologies, it's certainly not what we expect. What were you advised when you contacted us? ^JJ || USER Is there a delivery date showing here now: ^BM || USER It's not uncommon for items to ship and arrive the same day! Please let us know if you don't receive your order by PM. ^KJ || USER If it doesn't arrive by 8PM, please contact us here: ^AF",TWCS AmazonHelp historical conversation,False
RAG00002,532564,delivery_shipping,"USER Theres no point. First item never arrived at all and was refunded a month after it was needed. Latest was expected yesterday. My formal complaint for this and that of the whole Prime package 'benefits' was greeted with a sorry but thats the way it is email from USER || USER On todays complaint no action has been taken and i presume given the response no investigation. First issue has gone and I'm expecting delivery today for yesterdays item (hopefully). I can accept mistakes but I'm seeing a pattern of missed promises and creep on cost vs benefit. || USER Just so you know i will be evaluating the benefits of prime vs cost during this month. Given the benefit has eroded - as seen by the customer (me), and I'm now seeing delivery dates promised being missed, the current expectation is i will cancel the account.","USER I'm sorry to hear that Neil, without posting any personal account info, can you tell us a bit more about the delivery issue?^MA || USER Are you aware of any action taken or investigation? ^BD || USER Ok, thanks for letting us know it is out for delivery today. If it isn't with you by this evening then keep us posted and we'll see what else we can do for you. ^KI","Historical AmazonHelp support example.
Customer problem: USER Theres no point. First item never arrived at all and was refunded a month after it was needed. Latest was expected yesterday. My formal complaint for this and that of the whole Prime package 'benefits' was greeted with a sorry but thats the way it is email from USER || USER On todays complaint no action has been taken and i presume given the response no investigation. First issue has gone and I'm expecting delivery today for yesterdays item (hopefully). I can accept mistakes but I'm seeing a pattern of missed promises and creep on cost vs benefit. || USER Just so you know i will be evaluating the benefits of prime vs cost during this month. Given the benefit has eroded - as seen by the customer (me), and I'm now seeing delivery dates promised being missed, the current expectation is i will cancel the account.
Historical support response: USER I'm sorry to hear that Neil, without posting any personal account info, can you tell us a bit more about the delivery issue?^MA || USER Are you aware of any action taken or investigation? ^BD || USER Ok, thanks for letting us know it is out for delivery today. If it isn't with you by this evening then keep us posted and we'll see what else we can do for you. ^KI",TWCS AmazonHelp historical conversation,False
RAG00003,348673,delivery_shipping,"USER when shall i rcv delivery date had lapesed || USER Order #406-3971997-7415546 DE13 SBK10 Mens Analogue Black Buckle Casual Watch Round Shape Quartz Movement Sold by Ganpati13 || USER WHERE IS MY PAID PRODUCT FOR ORDER NO #406-3971997-7415546 CT -09101222439 LAST WAS 6 SEPT NO DETAILS IN MY ACC NO TRACKING DETAILS || USER not rcv my 1 paid product till now,other 3 nos had been rcv before 1 mnt in sane cart.I shall go to consumer court or pay intrest for it. || USER where is my product are you looting customers for order no 406-3971997-7415546 not received till now i had paid","USER and we'll help you right away. Also, please don't provide your order details, as we 2/3 ^EM || USER We'll not be able to view your order details on social platform. Please reach out to us from the link provided earlier. ^YP || USER How may we assist you with the order Purnananda?1/2^HN || USER Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public.^YP || USER I'm sorry about the delay. Kindly share your details here: and we'll look into this. (1/2) ^GK","Historical AmazonHelp support example.
Customer problem: USER when shall i rcv delivery date had lapesed || USER Order #406-3971997-7415546 DE13 SBK10 Mens Analogue Black Buckle Casual Watch Round Shape Quartz Movement Sold by Ganpati13 || USER WHERE IS MY PAID PRODUCT FOR ORDER NO #406-3971997-7415546 CT -09101222439 LAST WAS 6 SEPT NO DETAILS IN MY ACC NO TRACKING DETAILS || USER not rcv my 1 paid product till now,other 3 nos had been rcv before 1 mnt in sane cart.I shall go to consumer court or pay intrest for it. || USER where is my product are you looting customers for order no 406-3971997-7415546 not received till now i had paid
Historical support response: USER and we'll help you right away. Also, please don't provide your order details, as we 2/3 ^EM || USER We'll not be able to view your order details on social platform. Please reach out to us from the link provided earlier. ^YP || USER How may we assist you with the order Purnananda?1/2^HN || USER Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public.^YP || USER I'm sorry about the delay. Kindly share your details here: and we'll look into this. (1/2) ^GK",TWCS AmazonHelp historical conversation,False
RAG00004,2590115,delivery_shipping,"USER This is literally my 3rd late package and now I won’t have anything for Halloween tomorrow. || USER Welp, I’ve now been miraculously hung up on twice now and still no resolution, thanks for the help 😒 || USER Started w chat those reps are 🚮. If they’d done their jobs I’d have my stuff; alas, the outcome is another delayed delivery. Thx for nothing",USER Hello! I'm really sorry for the frustration. We'd like to help! Do you have a package you are currently waiting on? ^AJ || USER Please phone us here: so we can look into this and discuss any available options with you. ^LB || USER I'm sorry the calls dropped. We also have a chat feature available. Please keep us posted on the outcome. ^AF,"Historical AmazonHelp support example.
Customer problem: USER This is literally my 3rd late package and now I won’t have anything for Halloween tomorrow. || USER Welp, I’ve now been miraculously hung up on twice now and still no resolution, thanks for the help 😒 || USER Started w chat those reps are 🚮. If they’d done their jobs I’d have my stuff; alas, the outcome is another delayed delivery. Thx for nothing
Historical support response: USER Hello! I'm really sorry for the frustration. We'd like to help! Do you have a package you are currently waiting on? ^AJ || USER Please phone us here: so we can look into this and discuss any available options with you. ^LB || USER I'm sorry the calls dropped. We also have a chat feature available. Please keep us posted on the outcome. ^AF",TWCS AmazonHelp historical conversation,False
RAG00005,1867627,delivery_shipping,USER 9784901986 this is my contact number now call me || USER I can't understand what's are you telling please help with delivery my package || USER Where is link,"USER I understand your concern. I’d like to help you, please fill this form: and I’ll contact you soon.^SY || USER We wouldn't be able to access your Amazon account or order info on Twitter. Kindly drop in your details through the [1/2] || USER We'd definitely help you with the delivery of your order. However, for that, you need to share details using the link 1/2 ^RS","Historical AmazonHelp support example.
Customer problem: USER 9784901986 this is my contact number now call me || USER I can't understand what's are you telling please help with delivery my package || USER Where is link
Historical support response: USER I understand your concern. I’d like to help you, please fill this form: and I’ll contact you soon.^SY || USER We wouldn't be able to access your Amazon account or order info on Twitter. Kindly drop in your details through the [1/2] || USER We'd definitely help you with the delivery of your order. However, for that, you need to share details using the link 1/2 ^RS",TWCS AmazonHelp historical conversation,False
RAG00006,89193,delivery_shipping,"USER I am aware of this, I live in a flat and no option was suitable. For some reason I wasn't allowed to deliver it at a post office which is what I normally do. What annoys me more is you chose USER to deliver. They are notoriously bad. Evidentially so. 🙄 || USER I already emailed and got a copy paste response also listed the wrong product and then credited with £5, all i wanna know is where my package is. || USER I just got off the line with you guys, in summary: USER lied about delivery, lied about coming to my door, hung up on your own customer service (poor girl). So I refunded it.","USER You can set a safe place for your deliveries in case they are delivered when you are not at home. Instructions for setting a safe place can be found here: ^MI || USER We'd like to help out any way we can, but do not have access to account information here on Twitter. If you could reach us by Phone or Chat: we would be happy to explore all of our options for you! Keep us posted, Lucas! ^FR || USER I see! Thanks for the information, Lucas! Would you be able to contact us by phone or chat for real-time assistance with this delivery? You can contact us here: and we will look into the matter thoroughly! ^FR","Historical AmazonHelp support example.
Customer problem: USER I am aware of this, I live in a flat and no option was suitable. For some reason I wasn't allowed to deliver it at a post office which is what I normally do. What annoys me more is you chose USER to deliver. They are notoriously bad. Evidentially so. 🙄 || USER I already emailed and got a copy paste response also listed the wrong product and then credited with £5, all i wanna know is where my package is. || USER I just got off the line with you guys, in summary: USER lied about delivery, lied about coming to my door, hung up on your own customer service (poor girl). So I refunded it.
Historical support response: USER You can set a safe place for your deliveries in case they are delivered when you are not at home. Instructions for setting a safe place can be found here: ^MI || USER We'd like to help out any way we can, but do not have access to account information here on Twitter. If you could reach us by Phone or Chat: we would be happy to explore all of our options for you! Keep us posted, Lucas! ^FR || USER I see! Thanks for the information, Lucas! Would you be able to contact us by phone or chat for real-time assistance with this delivery? You can contact us here: and we will look into the matter thoroughly! ^FR",TWCS AmazonHelp historical conversation,False
RAG00007,2282869,delivery_shipping,USER I’ve been at home all day and have even received my other amazon package at my door. USER didn’t even attempt delivery. || USER No attempt or plan was made to have the package delivered to my address. I was simply told I had to pick it up from them. No number or address was provided. || USER I’ve already tried that. I did the chat they said they couldn’t help me so they sent my number somewhere and that where Steve J said he couldn’t help either.,"USER I know how frustrating this can be. Without giving any account/personal info, can you please let us know the problem you are having? ^BA || USER Thank you for elaborating. Did we mention anything about forwarding your carrier feedback or attempt to contact the carrier to schedule a redelivery? If not, we'd like a second chance to look into this: ^GG || USER We'd like another chance to make sure this was escalated probably. We're available 24/7 here: ^EP","Historical AmazonHelp support example.
Customer problem: USER I’ve been at home all day and have even received my other amazon package at my door. USER didn’t even attempt delivery. || USER No attempt or plan was made to have the package delivered to my address. I was simply told I had to pick it up from them. No number or address was provided. || USER I’ve already tried that. I did the chat they said they couldn’t help me so they sent my number somewhere and that where Steve J said he couldn’t help either.
Historical support response: USER I know how frustrating this can be. Without giving any account/personal info, can you please let us know the problem you are having? ^BA || USER Thank you for elaborating. Did we mention anything about forwarding your carrier feedback or attempt to contact the carrier to schedule a redelivery? If not, we'd like a second chance to look into this: ^GG || USER We'd like another chance to make sure this was escalated probably. We're available 24/7 here: ^EP",TWCS AmazonHelp historical conversation,False
RAG00008,1423038,delivery_shipping,"USER Have also had deliveries when courier claimed to have delivered, but put it back in the van and ended up back at the depot. || USER Called it in and spoke to CS. || USER Only redelivery would be attempted today. If we had not been at home, courier was to deliver to a neighbor (estate agents) - didn't happen. || USER Once again, it says attempted delivery. Nobody buzzed my flat. I've been home the entire time! #deliveryfail || USER My husband has already called. Supposedly there will be another delivery attempt this evening. Not sure why I am a prime member... || USER And just like that, still no package. #amazonfail","USER Sorry to hear this, has this happened with any of your other orders? ^KM || USER Apologies, did you report this to us via the website? ^JJ || USER What was advised when you called? ^PK || USER Please keep us updated on the delivery today. We do apologize once again for this mishap. ^CR || USER We'd like to look into this further with you. Please provide details here: so we can further assist. ^MT || USER We can deliver up until 8PM! Please let us know if you haven't received your delivery by this time. ^KJ","Historical AmazonHelp support example.
Customer problem: USER Have also had deliveries when courier claimed to have delivered, but put it back in the van and ended up back at the depot. || USER Called it in and spoke to CS. || USER Only redelivery would be attempted today. If we had not been at home, courier was to deliver to a neighbor (estate agents) - didn't happen. || USER Once again, it says attempted delivery. Nobody buzzed my flat. I've been home the entire time! #deliveryfail || USER My husband has already called. Supposedly there will be another delivery attempt this evening. Not sure why I am a prime member... || USER And just like that, still no package. #amazonfail
Historical support response: USER Sorry to hear this, has this happened with any of your other orders? ^KM || USER Apologies, did you report this to us via the website? ^JJ || USER What was advised when you called? ^PK || USER Please keep us updated on the delivery today. We do apologize once again for this mishap. ^CR || USER We'd like to look into this further with you. Please provide details here: so we can further assist. ^MT || USER We can deliver up until 8PM! Please let us know if you haven't received your delivery by this time. ^KJ",TWCS AmazonHelp historical conversation,False
RAG00009,2897657,delivery_shipping,"USER I returned an Item per all requirements and it is being returned as the sellers address for the return seems to be wrong (based on google maps) and your overseas support people keep not looking at what I send them and seems clueless beyond belief! || USER Yes, A picture of my receipt when I dropped it off at Fedex was also sent to them. Their first reply was to tell me it was not a valid number! It was On The USER receipt I sent a picture of as well as a screen capture of the tracking info! || USER While on the surface this seems nice. Asking people to directly correlate/link a social media account to their USER account for you to provide help does not add any warm and fuzzy. Please provide generic contact info.","USER I'm so sorry to hear about the poor experience, Nicole! Without including account/personal information, could you tell us a bit more about what's going on? We want to help! ^SD || USER Hi there! Do you have the tracking number from the label on the package you returned? (Please don't post the tracking number here, too public.) If you don't have a tracking number, do you know which company (UPS, FedEx, etc) you used to ship it? ^SP || USER That is interesting! I would like a member of my team to look into this with you in real-time. Please contact them here: ^LS","Historical AmazonHelp support example.
Customer problem: USER I returned an Item per all requirements and it is being returned as the sellers address for the return seems to be wrong (based on google maps) and your overseas support people keep not looking at what I send them and seems clueless beyond belief! || USER Yes, A picture of my receipt when I dropped it off at Fedex was also sent to them. Their first reply was to tell me it was not a valid number! It was On The USER receipt I sent a picture of as well as a screen capture of the tracking info! || USER While on the surface this seems nice. Asking people to directly correlate/link a social media account to their USER account for you to provide help does not add any warm and fuzzy. Please provide generic contact info.
Historical support response: USER I'm so sorry to hear about the poor experience, Nicole! Without including account/personal information, could you tell us a bit more about what's going on? We want to help! ^SD || USER Hi there! Do you have the tracking number from the label on the package you returned? (Please don't post the tracking number here, too public.) If you don't have a tracking number, do you know which company (UPS, FedEx, etc) you used to ship it? ^SP || USER That is interesting! I would like a member of my team to look into this with you in real-time. Please contact them here: ^LS",TWCS AmazonHelp historical conversation,False
RAG00010,854357,delivery_shipping,"USER It has said the same thing for 2 days ""Expected between Oct 18-20"" now it just says Oct 20th but it hasn't shown out for delivery || USER amazon owes me something at a minimum because this is ridiculous why pay for prime when im still waiting for packages? that is insane to me || USER not to business addresses, I am not sure why it took 4 amazon chat sessions and an afternoon of tweets to get this fixed but i should be ok","USER What does the current tracking details show here: Do you see a new delivery date? ^DA || USER I'm sorry for the delay, Tyler! Let's take a look! Have you contacted the carrier yet to investigate? If so, what was advised?^FR || USER Deliveries occur until 8pm, please keep us posted. Hope you receive your order soon.^DA","Historical AmazonHelp support example.
Customer problem: USER It has said the same thing for 2 days ""Expected between Oct 18-20"" now it just says Oct 20th but it hasn't shown out for delivery || USER amazon owes me something at a minimum because this is ridiculous why pay for prime when im still waiting for packages? that is insane to me || USER not to business addresses, I am not sure why it took 4 amazon chat sessions and an afternoon of tweets to get this fixed but i should be ok
Historical support response: USER What does the current tracking details show here: Do you see a new delivery date? ^DA || USER I'm sorry for the delay, Tyler! Let's take a look! Have you contacted the carrier yet to investigate? If so, what was advised?^FR || USER Deliveries occur until 8pm, please keep us posted. Hope you receive your order soon.^DA",TWCS AmazonHelp historical conversation,False
