golden_id,conversation_id,query,gold_intent,top1_intent,top1_score,first_matching_intent_rank,top1_match,mrr,latency_ms,recall_at_1,recall_at_3,recall_at_5,recall_at_10,top1_rag_id,top2_rag_id,top2_intent,top2_score,top3_rag_id,top3_intent,top3_score,top4_rag_id,top4_intent,top4_score,top5_rag_id,top5_intent,top5_score,top6_rag_id,top6_intent,top6_score,top7_rag_id,top7_intent,top7_score,top8_rag_id,top8_intent,top8_score,top9_rag_id,top9_intent,top9_score,top10_rag_id,top10_intent,top10_score
GLD0001,29950,@AmazonHelp I was told I'd receive an email to reset my password since my account was hacked and 5 phone calls later nothing. || @AmazonHelp  https://t.co/b5RacHAicP || @AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked. || @AmazonHelp Sent.,account_access,account_access,0.7362,1,1,1.0,72.78,1,1,1,1,RAG02425,RAG02330,account_access,0.7139,RAG02362,account_access,0.713,RAG02194,account_access,0.7028,RAG02142,account_access,0.6989,RAG02290,account_access,0.6976,RAG04576,payment,0.6952,RAG02261,account_access,0.6947,RAG02109,account_access,0.6941,RAG02331,account_access,0.6888
GLD0002,277211,"@AmazonHelp That it is being referred to a ""specialist team"" who will be in touch ""within 24 hours"". It's now been six days... || @AmazonHelp No I haven't || @AmazonHelp Yes. 4 times now. || @AmazonHelp I can't log in to that link. It says my password is incorrect. Should I try resetting the password again?",account_access,account_access,0.776,1,1,1.0,35.6,1,1,1,1,RAG02425,RAG02194,account_access,0.7733,RAG02314,account_access,0.7541,RAG02261,account_access,0.7509,RAG02290,account_access,0.742,RAG02376,account_access,0.7374,RAG02161,account_access,0.7344,RAG02151,account_access,0.7301,RAG02315,account_access,0.7258,RAG02122,account_access,0.7254
GLD0003,1873876,"@AmazonHelp No, I have not received anything. I have just sent an email using the link as calling got no results. || @AmazonHelp Not working. https://t.co/agJVJmHm23 || @AmazonHelp I have rung this number, and I have also sent an email. 24 hours later and still no response. 17 years a customer and you plan to lose me? || @AmazonHelp The only email I received was about resetting my password which failed to unlock my account. Amazon emails do not go into my spam folder. || @AmazonHelp That takes me to a screen asking me to log in! I can't log in because you have disabled my account!",account_access,account_access,0.7982,1,1,1.0,53.54,1,1,1,1,RAG02425,RAG02216,account_access,0.7637,RAG02290,account_access,0.7635,RAG02137,account_access,0.7604,RAG02502,account_access,0.7523,RAG02221,account_access,0.7466,RAG02261,account_access,0.7463,RAG02164,account_access,0.7447,RAG02313,account_access,0.7431,RAG02398,account_access,0.7416
GLD0004,2690666,@AmazonHelp Yes to reset the password. We have reset the account after waiting 5 hours we have had the verification code sent and changed it but it’s still not letting us sign in with the new or old password. It started because we had an email saying the email address has been changed,account_access,account_access,0.7224,1,1,1.0,28.76,1,1,1,1,RAG02365,RAG02194,account_access,0.7118,RAG02314,account_access,0.7011,RAG02261,account_access,0.6991,RAG02161,account_access,0.6972,RAG02290,account_access,0.6803,RAG02349,account_access,0.6777,RAG02425,account_access,0.6752,RAG02330,account_access,0.675,RAG02315,account_access,0.6698
GLD0005,741616,"@AmazonHelp Tried to login, used wrong password, sent verification code many times, nothing has arrived. Checked spam as well.",account_access,account_access,0.7282,1,1,1.0,21.6,1,1,1,1,RAG02242,RAG02425,account_access,0.7241,RAG02137,account_access,0.7177,RAG02194,account_access,0.7173,RAG02290,account_access,0.7097,RAG02398,account_access,0.7094,RAG02164,account_access,0.709,RAG02216,account_access,0.7079,RAG03963,security_fraud,0.6994,RAG04036,security_fraud,0.6968
GLD0006,2901063,@AmazonHelp Ive been trying to access my account but need to have a verification code emailed to me. I have tried several times to contact customer svcs but need to login in first which I can’t do without a code. I’ve asked 3 times over 3 hours and received one code after 2 hrs which expired,account_access,account_access,0.6947,1,1,1.0,33.64,1,1,1,1,RAG02378,RAG02407,account_access,0.6787,RAG02303,account_access,0.6495,RAG04036,security_fraud,0.6444,RAG02172,account_access,0.6427,RAG02157,account_access,0.6386,RAG04576,payment,0.6323,RAG04215,general_support,0.6307,RAG02216,account_access,0.6267,RAG02331,account_access,0.6253
GLD0007,2825612,"@AmazonHelp Is not two step verification.
Two step login... One page to enter id, another page to enter password...",account_access,account_access,0.7739,1,1,1.0,21.86,1,1,1,1,RAG02200,RAG03963,security_fraud,0.7416,RAG02407,account_access,0.6742,RAG02249,account_access,0.6486,RAG02244,account_access,0.6406,RAG04036,security_fraud,0.6329,RAG02378,account_access,0.6314,RAG02172,account_access,0.6244,RAG02376,account_access,0.5989,RAG02425,account_access,0.5891
GLD0008,2435009,"@AmazonHelp Can't login it says Account locked

Your account has been locked for security purposes. Please check your email for instructions on how to unlock your account. || @AmazonHelp I can't sign in my account it is locked",account_access,account_access,0.794,1,1,1.0,21.72,1,1,1,1,RAG02402,RAG02491,account_access,0.7692,RAG02425,account_access,0.7637,RAG02469,account_access,0.7583,RAG02390,account_access,0.7532,RAG02107,account_access,0.7475,RAG02194,account_access,0.7432,RAG02349,account_access,0.7381,RAG02296,account_access,0.7339,RAG02118,account_access,0.7289
GLD0009,1170018,"@AmazonHelp I'm not getting to a place to enter my password: I get a 500 when it sends me to any login screen. If I open in incognito, I can sign in. || @AmazonHelp I was able to get it to work by clearing application cache memory. For a while it wasn't recognizing the site, so it didn't clear properly.",account_access,account_access,0.6899,1,1,1.0,27.47,1,1,1,1,RAG02144,RAG02151,account_access,0.689,RAG02376,account_access,0.6887,RAG02425,account_access,0.6871,RAG02229,account_access,0.6794,RAG03209,technical_app,0.6748,RAG02290,account_access,0.6743,RAG02462,account_access,0.6742,RAG02193,account_access,0.6721,RAG02314,account_access,0.6668
GLD0010,2727072,"@AmazonHelp https://t.co/vCw4EsIQbd || @AmazonHelp You just linked to a page that requires me to sign in. And it's clear from the lengthy notes I sent you, I can't log in... fml.",account_access,account_access,0.6756,1,1,1.0,24.04,1,1,1,1,RAG02425,RAG02122,account_access,0.6735,RAG02402,account_access,0.6627,RAG02144,account_access,0.6466,RAG02118,account_access,0.6423,RAG02331,account_access,0.6396,RAG02229,account_access,0.6394,RAG02151,account_access,0.6388,RAG02376,account_access,0.6384,RAG02381,account_access,0.6347
